12781,1,13002,2,69.98
12781,2,13001,1,14.99
12782,1,13002,2,69.98
12783,1,13003,2,41.98
12784,2,13001,1,14.99
12785,1,13001,1,14.99
12785,2,13002,1,34.99
12785,3,13002,4,139.96
34534,1,88568,4,168.40
34534,2,88567,1,22.50
34534,3,89720,2,21.98
34535,1,88568,2,84.20
34536,1,89720,2,21.98
34537,1,88568,2,84.20
34537,2,88567,1,22.50
34538,1,89720,2,21.98
34539,1,89720,2,21.98
34539,2,88568,2,84.20
34540,1,88568,4,168.40
34540,2,88567,1,22.50
34540,3,89720,2,21.98
34541,1,88568,2,84.20
67589,1,67833,2,57.34
67589,2,67832,2,37.12
67590,1,67833,2,57.34
67590,2,67832,2,37.12
67591,1,67832,1,18.56
67591,2,67855,1,12.12
67592,1,67833,4,114.68
67593,1,67833,2,57.34
67593,2,67832,2,37.12
